TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,POSS,PIE,Game_ID
1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,33.75,110.1,128.2,-18,0.133,2,30.8,0,0.118,0.063,15.4,0.417,0.509,0.117,99.58,82.98,69,0.05,22400509
1610612760,OKC,Oklahoma City,1631114,Jalen Williams,35.90,117.3,131.6,-14.2,0.333,3,28.1,0.032,0.114,0.076,9.4,0.588,0.623,0.274,100.95,84.12,75,0.144,22400509
1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,30.58,127,130.2,-3.2,0.348,4,32,0.179,0.2,0.19,8,0.571,0.605,0.233,98.88,82.4,63,0.136,22400509
1610612760,OKC,Oklahoma City,1641717,Cason Wallace,30.87,137.5,132.3,5.2,0.111,0,27.3,0,0.065,0.034,0,0.938,0.938,0.111,100.3,83.59,64,0.078,22400509
1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,38.25,120.3,117.1,3.2,0.16,0.8,10.5,0.03,0.1,0.068,13.2,0.5,0.539,0.386,101.02,84.18,79,0.106,22400509
1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,24.88,120,117.9,2.1,0.13,0,30,0.045,0.24,0.149,0,0.5,0.581,0.115,107.03,89.19,55,0.123,22400509
1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,10.90,111.5,110.7,0.8,0.2,0,66.7,0,0.154,0.087,0,1.5,1.5,0.038,118.9,99.08,26,0.119,22400509
1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,21.63,123.4,114.9,8.5,0.063,1,11.1,0.05,0.05,0.05,11.1,0.786,0.786,0.157,104.28,86.9,47,0.08,22400509
1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,13.23,120,144.4,-24.4,0.091,0,20,0,0,0,0,0.5,0.5,0.154,94.31,78.59,25,0.029,22400509
1610612739,CLE,Cleveland,1629731,Dean Wade,20.57,128.9,131.8,-2.9,0.056,0.5,12.5,0,0.158,0.077,25,1.1,1.1,0.132,103.86,86.55,45,0.075,22400509
1610612739,CLE,Cleveland,1630596,Evan Mobley,35.15,124.7,113.7,11,0.292,2.33,26.9,0.053,0.258,0.145,11.5,0.615,0.653,0.224,99.69,83.07,73,0.157,22400509
1610612739,CLE,Cleveland,1628386,Jarrett Allen,32.10,134.8,124.6,10.1,0.231,0,27.3,0.226,0.148,0.19,0,0.818,0.812,0.19,103.18,85.98,69,0.202,22400509
1610612739,CLE,Cleveland,1628378,Donovan Mitchell,35.15,124.7,113.7,11,0.138,4,17.4,0.026,0.161,0.087,4.3,0.25,0.31,0.224,99.69,83.07,73,0.009,22400509
1610612739,CLE,Cleveland,1629636,Darius Garland,32.32,134.8,124.6,10.1,0.25,3.5,29.2,0,0.037,0.017,8.3,0.533,0.567,0.202,102.49,85.4,69,0.078,22400509
1610612739,CLE,Cleveland,1627747,Caris LeVert,19.68,104.3,123.9,-19.6,0.143,0,18.2,0,0.105,0.05,0,0.444,0.444,0.173,112.18,93.48,46,0.054,22400509
